panel,metric,within_mean,between_mean,p_value,n_within,n_between
Metagenomics Original effect ω²=0.381,Gemelli,1.2716436560642703,2.357037794946721,5.635315216412549e-13,90,100
Metagenomics Original effect ω²=0.381,Weighted UniFrac,0.2369732660663262,0.29923989027194764,0.004165089625798123,90,100
Metagenomics Original effect ω²=0.381,Bray-Curtis,0.5247772156502275,0.7012143960345059,5.683264581403155e-06,90,100
Metagenomics Original effect ω²=0.381,Jaccard,0.14299854608102883,0.1907036783577435,8.488511292476943e-05,90,100
Metaproteomics Original effect ω²=0.197,PhyloFunc,1.2387071604736937,1.5304983552451124,5.672444761929739e-29,381,399
Metaproteomics Original effect ω²=0.197,Weighted UniFrac,0.3030997972082614,0.39659778552458447,1.8813990631467223e-15,381,399
Metaproteomics Original effect ω²=0.197,Bray-Curtis,0.695213747714057,0.804877080342242,4.101652437526621e-22,381,399
Metaproteomics Original effect ω²=0.197,Jaccard,0.8312034412576003,0.8910223680095264,9.942542104972462e-17,381,399
Metagenomics Effect enhanced ω²=0.478,Gemelli,1.0909922623223909,2.4233745740904022,0.0,9900,10000
Metagenomics Effect enhanced ω²=0.478,Weighted UniFrac,0.08676267962716665,0.6043562662744968,0.0,9900,10000
Metagenomics Effect enhanced ω²=0.478,Bray-Curtis,0.16256256024016077,0.9999084130538914,0.0,9900,10000
Metagenomics Effect enhanced ω²=0.478,Jaccard,0.12891203735373186,0.188437433923297,0.0,9900,10000
Metaproteomics Effect enhanced ω²=0.657,PhyloFunc,0.749651962079903,1.8159384203020563,0.0,9900,10000
Metaproteomics Effect enhanced ω²=0.657,Weighted UniFrac,0.17368335125591064,0.3635934018499071,0.0,9900,10000
Metaproteomics Effect enhanced ω²=0.657,Bray-Curtis,0.5204704585604654,0.8209197510409398,0.0,9900,10000
Metaproteomics Effect enhanced ω²=0.657,Jaccard,0.8033098639650059,0.8900774243298223,0.0,9900,10000
Metagenomics Effect diluted ω²=0.042,Gemelli,1.7179680427229138,1.8259807818364902,7.024957881175539e-11,9900,10000
Metagenomics Effect diluted ω²=0.042,Weighted UniFrac,0.2579346052131402,0.2818332315291078,1.241888372494209e-22,9900,10000
Metagenomics Effect diluted ω²=0.042,Bray-Curtis,0.581938669858658,0.6263297554133771,5.451919880261236e-25,9900,10000
Metagenomics Effect diluted ω²=0.042,Jaccard,0.1630637348549583,0.1632904811039821,0.7787508766842907,9900,10000
Metaproteomics Effect diluted ω²=0.040,PhyloFunc,1.397493499303637,1.477290794894665,5.080379462511749e-33,9900,10000
Metaproteomics Effect diluted ω²=0.040,Weighted UniFrac,0.30662755365285377,0.32405753637595225,1.7654000848745837e-16,9900,10000
Metaproteomics Effect diluted ω²=0.040,Bray-Curtis,0.7413375928794922,0.7640783098981581,2.2953540684500526e-06,9900,10000
Metaproteomics Effect diluted ω²=0.040,Jaccard,0.8403351729839442,0.8477649291673394,2.0522342592972286e-07,9900,10000
